PRODUCT TITLE,CATEGORY,PRICE TYPE,PRICE,WOOD UPGRADE,CUSTOMER WORDING,
"TOPS  TO 25"" DEEP             W / 4""  SPLASH",BASE,  PLI,$4.13 ,,LAMINATE TOPS,BASE IS BROWN COLOR
"TOPS  26"" TO 30"" DEEP       W / 4""  SPLASH",BASE,  PLI,$5.20 ,,LAMINATE TOPS,
"TOPS 31"" TO 36"" DEEP        W / 4""  SPLASH",BASE,  PLI,$6.40 ,,LAMINATE TOPS,
"ISLAND TOPS TO 30"" DEEP",BASE,  PLI,$4.27 ,,LAMINATE TOPS,
"ISLAND TOPS 31"" TO 38""  DEEP",BASE,  PLI,$5.33 ,,LAMINATE TOPS,
"ISLAND TOPS OVER 38"" DEEP",BASE,  PSF,$21.20 ,,LAMINATE TOPS,
FULL ROUND TOPS,TOPS,  PSF,$37.87 ,,LAMINATE TOPS,
SOLID TOPS FULL LINER BOTTOM SIDE,TOPS,  PSF,$37.87 ,,LAMINATE TOPS,
FIELD SCRIBE TOP CHARGE,BASE,  EA,$600.00 ,,LAMINATE TOPS,
"3/4"" TOP OR LAMINATED PANELS ALL SIDES",BASE,  PSF,$45.33 ,,LAMINATE TOPS,
"1 1/2"" TOP OP LAMINATED PANELS ALL SIDES",BASE,  PSF,$46.67 ,,LAMINATE TOPS,
WOOD EDGE ON TOPS,TOPS,  PLF,$20.80 ,X,WOOD EDGE,
WOOD EDGE ON TOPS AND SPLASH,TOPS,  PLF,$30.40 ,X,WOOD EDGE,
BEVEL EDGE ON TOPS,TOPS,  PLF,$20.80 ,,BEVELED EDGE,
BEVEL EDGE ON TOPS AND SPLASH,TOPS,  PLF,$30.40 ,,BEVELED EDGE,
                           OPTIONS,,,,,,
RADIUS CORNER / CLIPPED CORNER,BASE - OPTIONS,  EA,$18.40 ,,LAMINATE TOPS,
QUARTER RADIUS,BASE - OPTIONS,,$70.67 ,,LAMINATE TOPS,
FULL RADIUS,BASE - OPTIONS,,$70.67 ,,LAMINATE TOPS,
INSIDE RADIUS,BASE - OPTIONS,,$28.00 ,,LAMINATE TOPS,
DIAGONAL CORNERS,BASE - OPTIONS,,$70.67 ,,LAMINATE TOPS,
DIAGONAL CORNERS   W / SHELF,BASE - OPTIONS,,$141.33 ,,LAMINATE TOPS,
FIELD JOINTS,BASE - OPTIONS,,       N/C,,LAMINATE TOPS,
FEATURE STRIPS  -  METAL,OPTIONS,  PLF,$22.40 ,,METAL FEATURE STRIP,
FEATURE STRIPS  -  LAMINATE,OPTIONS,  PLF,$19.20 ,,LAMINATE FEATURE STRIP,
"SURFACE SAVER  -  16"" X 20""",OPTIONS,  EA,$184.00 ,,SURFACE SAVER,
"SURFACE SAVER  -  12"" X 14""",OPTIONS,  EA,$154.67 ,,SURFACE SAVER,
LOOSE SPLASH    ,BASE - OPTIONS,  PLI,$18.40 ,,LAMINATE TOPS,
"SIDE SPLASH   26"" TO 30""",BASE - OPTIONS,  EA,$24.00 ,,LAMINATE TOPS,
"SIDE SPLASH   30"" TO 36""",BASE - OPTIONS,  EA,$26.67 ,,LAMINATE TOPS,
SPLASHES PER LIN. FT.,BASE - OPTIONS,  PLF,$18.40 ,,LAMINATE TOPS,
"DROP FACES OVER  1 1/2""",BASE - OPTIONS,  PLF,$15.36 ,,LAMINATE TOPS,
GOURMET RAIL,OPTIONS,  PLF,$84.80 ,,GOURMET RAIL,
SINK CUT OUT / COOK TOP CUT OUT,BASE - OPTIONS,  EA,$34.67 ,,LAMINATE TOPS,
UNDER MOUNT SINK,BASE- OPTIONS,  EA,$98.67 ,,LAMINATE TOPS,
       WOOD TOPS   OAK / BIRCH / M.D.F.,,, ,,,
"TOPS TO 25"" DEEP                            STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI,$6.40 ,X,WOOD TOPS,
"TOPS 26"" TO 30"" DEEP                      STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI,$8.00 ,X,WOOD TOPS,
"TOPS 31"" TO 36"" DEEP                      STAINED ",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI,$8.53 ,X,WOOD TOPS,
"ISLAND TOPS TO 30"" DEEP               STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PSF,$36.67 ,X,WOOD TOPS,
,,,,,,
"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",   , ,   ,,,
SELF EDGE WITH GLASS RAIL ONLY,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI,$4.53 ,,BAR TOP WITH GLASS RAIL,
ANGLED LAMINATE ARM REST,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI,$11.07 ,,BAR TOP WITH ANGLED LAMINATE ARM REST,
WOOD ARM REST- ADD $30.00 FOR EA. CLIP,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI,$11.07 ,X,BAR TOP WITH WOOD ARM REST,
"4"" DROP FACE WITH GLASS RAIL","BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI,$5.47 ,,"BAR TOP WITH DROP FACE (4"")",
,, ,   ,,,
               PLYWOOD TOPS  FOR TILE,,,   ,,,
"TOPS TO 25"" DEEP                        STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI,$2.48 ,,PLYWOOD TOPS,
"TOPS 26"" TO 30' DEEP                   STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI,$3.07 ,,PLYWOOD TOPS,
"TOPS 31"" TO 36""                            STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI,$3.73 ,,PLYWOOD TOPS,
"ISLAND TOPS TO 30"" DEEP           STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI,$2.48 ,,PLYWOOD TOPS,
"ISLAND TOPS 31"" TO 38"" DEEP     STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI,$3.73 ,,PLYWOOD TOPS,
"ISLAND TOPS OVER 38"" DEEP      STANDARD",               PLYWOOD TOPS  FOR TILE,  PSF,$22.67 ,,PLYWOOD TOPS,
,,,,,,
PLYWOOD TOPS WITH WOOD BAND,               PLYWOOD TOPS  FOR TILE,  PLI,$4.53 ,,PLYWOOD TOPS,
               PLYWOOD TOP EXTRAS,, ,   ,,,
RADIUS CORNERS,               PLYWOOD TOP EXTRAS,  EA,$22.67 ,,PLYWOOD TOPS,
FULL RADIUS,               PLYWOOD TOP EXTRAS,  EA,$66.67 ,,PLYWOOD TOPS,
DIAGONAL CORNER,               PLYWOOD TOP EXTRAS,  EA,$133.33 ,,PLYWOOD TOPS,
SINK / COOK TOP  CUTOUTS,               PLYWOOD TOP EXTRAS,  EA,$34.00 ,,PLYWOOD TOPS,
                      WOOD UPGRADES,,,,,,
BIRCH,                      WOOD UPGRADES,10%, $-   ,,BIRCH,
ALDER,                      WOOD UPGRADES,10%, $-   ,,ALDER,
MAPLE,                      WOOD UPGRADES,25%, $-   ,,MAPLE,
