PRODUCT TITLE,CATEGORY,PRICE TYPE,PRICE,WOOD UPGRADE,CUSTOMER WORDING,,,
"TOPS  TO 25"" DEEP             W / 4""  SPLASH",BASE,  PLI, $3.10 ,,LAMINATE TOPS,BASE IS BROWN COLOR,,
"TOPS  26"" TO 30"" DEEP       W / 4""  SPLASH",BASE,  PLI, $3.90 ,,LAMINATE TOPS,,,
"TOPS 31"" TO 36"" DEEP        W / 4""  SPLASH",BASE,  PLI, $4.80 ,,LAMINATE TOPS,,,
"ISLAND TOPS TO 30"" DEEP",BASE,  PLI, $3.20 ,,LAMINATE TOPS,,,
"ISLAND TOPS 31"" TO 38""  DEEP",BASE,  PLI, $4.00 ,,LAMINATE TOPS,,,
"ISLAND TOPS OVER 38"" DEEP",BASE,  PSF, $15.90 ,,LAMINATE TOPS,,,
FULL ROUND TOPS,TOPS,  PSF, $28.40 ,,LAMINATE TOPS,,,
SOLID TOPS FULL LINER BOTTOM SIDE,TOPS,  PSF, $28.40 ,,LAMINATE TOPS,,,
FIELD SCRIBE TOP CHARGE,BASE,  EA, $450.00 ,,LAMINATE TOPS,,,
"3/4"" TOP OR LAMINATED PANELS ALL SIDES",BASE,  PSF, $34.00 ,,LAMINATE TOPS,,,
"1 1/2"" TOP OP LAMINATED PANELS ALL SIDES",BASE,  PSF, $35.00 ,,LAMINATE TOPS,,,
WOOD EDGE ON TOPS,TOPS,  PLF, $15.60 ,X,WOOD EDGE,,,
WOOD EDGE ON TOPS AND SPLASH,TOPS,  PLF, $22.80 ,X,WOOD EDGE,,,
BEVEL EDGE ON TOPS,TOPS,  PLF, $15.60 ,,BEVELED EDGE,,,
BEVEL EDGE ON TOPS AND SPLASH,TOPS,  PLF, $22.80 ,,BEVELED EDGE,,,
                           OPTIONS,,,,,,,,
RADIUS CORNER / CLIPPED CORNER,BASE - OPTIONS,  EA, $13.80 ,,LAMINATE TOPS,,,
QUARTER RADIUS,BASE - OPTIONS,, $53.00 ,,LAMINATE TOPS,,,
FULL RADIUS,BASE - OPTIONS,, $53.00 ,,LAMINATE TOPS,,,
INSIDE RADIUS,BASE - OPTIONS,, $21.00 ,,LAMINATE TOPS,,,
DIAGONAL CORNERS,BASE - OPTIONS,, $53.00 ,,LAMINATE TOPS,,,
DIAGONAL CORNERS   W / SHELF,BASE - OPTIONS,, $106.00 ,,LAMINATE TOPS,,,
FIELD JOINTS,BASE - OPTIONS,, $-   ,,LAMINATE TOPS,,,
FEATURE STRIPS  -  METAL,OPTIONS,  PLF, $16.80 ,,METAL FEATURE STRIP,,,
FEATURE STRIPS  -  LAMINATE,OPTIONS,  PLF, $14.40 ,,LAMINATE FEATURE STRIP,,,
"SURFACE SAVER  -  16"" X 20""",OPTIONS,  EA, $138.00 ,,SURFACE SAVER,,,
"SURFACE SAVER  -  12"" X 14""",OPTIONS,  EA, $116.00 ,,SURFACE SAVER,,,
LOOSE SPLASH    ,BASE - OPTIONS,  PLI, $13.80 ,,LAMINATE TOPS,,,
"SIDE SPLASH   26"" TO 30""",BASE - OPTIONS,  EA, $18.00 ,,LAMINATE TOPS,,,
"SIDE SPLASH   30"" TO 36""",BASE - OPTIONS,  EA, $20.00 ,,LAMINATE TOPS,,,
SPLASHES PER LIN. FT.,BASE - OPTIONS,  PLF, $13.80 ,,LAMINATE TOPS,,,
"DROP FACES OVER  1 1/2""",BASE - OPTIONS,  PLF, $11.52 ,,LAMINATE TOPS,,,
GOURMET RAIL,OPTIONS,  PLF, $63.60 ,,GOURMET RAIL,,,
SINK CUT OUT / COOK TOP CUT OUT,BASE - OPTIONS,  EA, $26.00 ,,LAMINATE TOPS,,,
UNDER MOUNT SINK,BASE- OPTIONS,  EA, $74.00 ,,LAMINATE TOPS,,,
       WOOD TOPS   OAK / BIRCH / M.D.F.,,,   ,,,,,
"TOPS TO 25"" DEEP                            STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI, $4.80 ,X,WOOD TOPS,,,
"TOPS 26"" TO 30"" DEEP                      STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI, $6.00 ,X,WOOD TOPS,,,
"TOPS 31"" TO 36"" DEEP                      STAINED ",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PLI, $6.40 ,X,WOOD TOPS,,,
"ISLAND TOPS TO 30"" DEEP               STAINED",       WOOD TOPS   OAK / BIRCH / M.D.F.,  PSF, $27.50 ,X,WOOD TOPS,,,
,,,,,,,,
"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",   , ,   ,,,,,
SELF EDGE WITH GLASS RAIL ONLY,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI, $3.40 ,,BAR TOP WITH GLASS RAIL,,,
ANGLED LAMINATE ARM REST,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI, $8.30 ,,BAR TOP WITH ANGLED LAMINATE ARM REST,,,
WOOD ARM REST- ADD $30.00 FOR EA. CLIP,"BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI, $8.30 ,X,BAR TOP WITH WOOD ARM REST,,,
"4"" DROP FACE WITH GLASS RAIL","BAR TOPS - STANDARD W/ 4"" GLASS RAIL",  PLI, $4.10 ,,"BAR TOP WITH DROP FACE (4"")",,,
,, ,   ,,,,,
               PLYWOOD TOPS  FOR TILE,,,   ,,,,,
"TOPS TO 25"" DEEP                        STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI, $1.86 ,,PLYWOOD TOPS,,,
"TOPS 26"" TO 30' DEEP                   STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI, $2.30 ,,PLYWOOD TOPS,,,
"TOPS 31"" TO 36""                            STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI, $2.80 ,,PLYWOOD TOPS,,,
"ISLAND TOPS TO 30"" DEEP           STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI, $1.86 ,,PLYWOOD TOPS,,,
"ISLAND TOPS 31"" TO 38"" DEEP     STANDARD",               PLYWOOD TOPS  FOR TILE,  PLI, $2.80 ,,PLYWOOD TOPS,,,
"ISLAND TOPS OVER 38"" DEEP      STANDARD",               PLYWOOD TOPS  FOR TILE,  PSF, $17.00 ,,PLYWOOD TOPS,,,
,,,,,,,,
PLYWOOD TOPS WITH WOOD BAND,               PLYWOOD TOPS  FOR TILE,  PLI, $3.40 ,,PLYWOOD TOPS,,,
               PLYWOOD TOP EXTRAS,, ,   ,,,,,
RADIUS CORNERS,               PLYWOOD TOP EXTRAS,  EA, $17.00 ,,PLYWOOD TOPS,,,
FULL RADIUS,               PLYWOOD TOP EXTRAS,  EA, $50.00 ,,PLYWOOD TOPS,,,
DIAGONAL CORNER,               PLYWOOD TOP EXTRAS,  EA, $100.00 ,,PLYWOOD TOPS,,,
SINK / COOK TOP  CUTOUTS,               PLYWOOD TOP EXTRAS,  EA, $25.50 ,,PLYWOOD TOPS,,,
                      WOOD UPGRADES,,,,,,,,
BIRCH,                      WOOD UPGRADES,10%, $-   ,,BIRCH,,,
ALDER,                      WOOD UPGRADES,10%, $-   ,,ALDER,,,
MAPLE,                      WOOD UPGRADES,25%, $-   ,,MAPLE,,,
WALNUT,                      WOOD UPGRADES,55%, $-   ,,WALNUT,,,
CHERRY,                      WOOD UPGRADES,50%, $-   ,,CHERRY,,,
WHITE ASH,                      WOOD UPGRADES,25%, $-   ,,WHITE ASH,,,
HICKORY,                      WOOD UPGRADES,20%, $-   ,,HICKORY,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
