PRODUCT TITLE,CATEGORY,PRICE TYPE,   PRICE,WOOD/STAIN/UNFINISHED CABINETRY,MAPLE INTERIORS/ALL PLYWOOD CONSTRUCTION,          CUSTOMER WORDING
"UPPERS 30""",BASE,  PLI,$9.75 ,X,X,"UPPERS 30"""
"UPPERS  31"" - 36""",BASE,  PLI,$11.45 ,X,X,EXTRA HEIGHT UPPERS
"UPPERS  37"" - 42""",BASE,  PLI,$13.70 ,X,X,EXTRA HEIGHT UPPERS
"UPPERS  43"" - 48""",BASE,  PLI,$15.60 ,X,X,EXTRA HEIGHT UPPERS
"UPPERS  49"" - 54""",BASE, PLI,$17.10 ,X,X,EXTRA HEIGHT UPPERS
"UPPERS  55"" - 60""",BASE,  PLI,$18.60 ,X,X,EXTRA HEIGHT UPPERS
"UPPERS  61"" - 66""",BASE, PLI,$20.10 ,X,X,EXTRA HEIGHT UPPERS
"BASE CABINETS  24"" X 34 1/2""   ",BASE,  PLI,$11.55 ,X,X,"BASE CABINETS  24"" X 34 1/2""   "
"BASE CABINETS 26"" TO 30"" DEEP",BASE,  PLI,$15.85 ,X,X,EXTRA DEPTH BASE CABINETS
"BASE CABINETS OVER 34 1/2"" TO 40 1/2""",BASE,  PLI,$15.85 , X , X ,EXTRA HEIGHT BASE CABINETS
"BASE CABINETS  24"" X 34 1/2""   FIN INTERIOR",BASE,  PLI,$14.64 ,X,X,FINISHED INTERIOR CABINETS
"BASE CABINETS 26"" TO 30"" DEEP FIN INTERIOR",BASE, PLI,$20.23 ,X,X,FINISHED INTERIOR CABINETS
"BASE CABINETS OVER 34 1/2"" TO 40 1/2"" FIN INTERIOR",BASE, PLI,$20.23 ,X,X,FINISHED INTERIOR CABINETS
"PLAIN PANEL BACKS TO 34 1/2"" TALL",BASE,  PLI,$4.50 ,X,,"PLAIN PANEL BACKS TO 34 1/2"" TALL"
"PLAIN PANEL BACKS TO 40 1/2"" TALL",BASE,  PLI,$5.10 ,X,,"PLAIN PANEL BACKS TO 40 1/2"" TALL"
LIVE PANEL ENDS OF NON STANDARD SIZE AT BASE CABTS (RAISED PANEL),LIVE PANEL,SQ FT,$41.00 ,X,,RAISED PANEL ENDS
LIVE PANEL ENDS OF NON STANDARD SIZE AT BASE CABTS (FLAT PANEL),LIVE PANEL,SQ FT,$36.00 ,X,,FLAT PANEL ENDS
"OVER DEPTH UPPERS       30"" TALL",BASE,  PLI,$12.31 ,X,X,EXTRA DEPTH UPPER
"OVER DEPTH UPPERS       36"" TALL",BASE,  PLI,$14.51 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"OVER DEPTH UPPERS       42"" TALL",BASE,  PLI,$17.28 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"OVER DEPTH UPPERS       48"" TALL",BASE, PLI,$18.51 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"OVER DEPTH UPPERS       54"" TALL",BASE,  PLI,$19.74 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"OVER DEPTH UPPERS       60"" TALL",BASE,  PLI,$23.64 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"OVER DEPTH UPPERS       66"" TALL",BASE, PLI ,$24.87 ,X,X,EXTRA DEPTH UPPER (EXTRA HEIGHT)
"24"" DEEP REFRIGERATOR CABINET UP TO 96"" TALL",CABINET , PLI,$12.65 ,X,X,REFRIGERATOR UPPER 
"24"" DEEP REFRIGERATOR CABINET UP TO 108"" TALL",CABINET,  PLI,$13.55 ,X,X,REFRIGERATOR UPPER 
"24"" DEEP REFRIGERATOR CABINET 108"" - 120""  TALL",CABINET,  PLI,$14.45 , X , X ,REFRIGERATOR UPPER 
"FINISHED INT. UPPER        30"" TALL",UPPER,  PLI,$12.31 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER        36"" TALL",UPPER,  PLI,$14.51 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER        42"" TALL",UPPER,  PLI,$17.28 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT  UPPER        48"" TALL",UPPER, PLI,$19.74 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT  UPPER        54"" TALL",UPPER,  PLI,$21.69 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT  UPPER        60"" TALL",UPPER, PLI,$23.64 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT  UPPER        66"" TALL",UPPER,  PLI,$25.59 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       30"" TALL",UPPER,  PLI,$15.61 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       36"" TALL",UPPER,  PLI,$18.49 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       42"" TALL",UPPER,  PLI,$21.92 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       48"" TALL",UPPER,  PLI,$25.12 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       54"" TALL",UPPER, PLI,$27.66 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       60"" TALL",UPPER,  PLI,$30.20 ,X,,FINISHED INTERIOR CABINETS
"FINISHED INT. UPPER  / OVER DEPTH       66"" TALL",UPPER, PLI,$32.74 ,X,,FINISHED INTERIOR CABINETS
FLUSH FINISHED TOPS,FINISHED TOPS,  PLI,$1.10 ,X,,FLUSH FINISHED TOPS
"     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",,,   ,,,"     PENINSULA AND ISLAND UPPER BACKS     6"" INCR."
"PLAIN PANEL BACK UPPER  TO       30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$3.70 ,X,,PLAIN PANEL BACK
"PLAIN PANEL BACK UPPER  TO       31  TO 42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$5.10 ,X,,PLAIN PANEL BACK
"PLAIN PANEL BACK UPPER  TO       43"" TO 48"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$5.70 ,X,,PLAIN PANEL BACK
"DOUBLE ENTRY UPPER       TO 30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$7.85 ,X,,DOUBLE ENTRY 
"DOUBLE ENTRY UPPER       TO 36"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$9.05 ,X,,DOUBLE ENTRY 
"DOUBLE ENTRY UPPER       TO 42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$10.90 ,X,,DOUBLE ENTRY 
"DOUBLE ENTRY UPPER       TO 48"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$12.00 , X ,,DOUBLE ENTRY 
"DOUBLE ENTRY BASE TO 34 1/2"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", PLI,$8.55 , X ,,DOUBLE ENTRY 
"DOUBLE ENTRY BASE TO 40 1/2"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", PLI,$10.90 , X ,,DOUBLE ENTRY 
"GROUP II / III APPLIED MOLDING BACKS   30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$6.60 , X ,,APPLIED MOLDING PANEL BACK
"GROUP II / III APPLIED MOLDING BACKS   42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$7.10 , X ,,APPLIED MOLDING PANEL BACK 
"GROUP  IV UPPER BACKS FLAT PANEL TO   30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", SQR,$9.90 , X ,,FLAT PANEL BACKS
"GROUP  IV UPPER BACKS FLAT PANEL TO   30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 1-HD,$10.20 , X ,,FLAT PANEL BACKS
"GROUP  IV UPPER BACKS FLAT PANEL TO   30"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 2-HD,$10.60 , X ,,FLAT PANEL BACKS
"GROUP  IV UPPER BACKS FLAT PANEL TO   42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", SQR,$10.70 , X ,,FLAT PANEL BACKS
"GROUP  IV UPPER BACKS FLAT PANEL TO   42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 1-HD,$11.30 , X ,,FLAT PANEL BACKS
"GROUP  IV UPPER BACKS FLAT PANEL TO   42"" TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 2-HD,$11.70 , X ,,FLAT PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   30""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", SQR,$12.50 , X ,,RAISED PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   30""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 1-HD,$13.00 , X ,,RAISED PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   30""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 2-HD,$13.40 , X ,,RAISED PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   42""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", SQR,$13.00 , X ,,RAISED PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   42""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 1-HD,$13.40 , X ,,RAISED PANEL BACKS
"GROUP  V  UPPER BACKS RAISED PANEL BACK TO   42""  TALL","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.", 2-HD,$13.70 , X ,,RAISED PANEL BACKS
"M.D.F. SERIES UPPER BACKS  T O  30"" TALL    ( ROUTED )","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$6.90 , X ,,RAISED PANEL BACKS
"M.D.F. SERIES UPPER BACKS  T O  42"" TALL    ( ROUTED )","     PENINSULA AND ISLAND UPPER BACKS     6"" INCR.",  PLI,$7.40 , X ,,RAISED PANEL BACKS
"     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",, ,   ,,,"     PENINSULA AND ISLAND BASE BACKS     6"" INCR."
"PENN & ISLAND BACK 4"" DEEP WALL 40 1/2"" TALL","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI,$6.00 , X ,,"4"" DEEP WALL AT ISLAND OR PENNINSULA"
"PENN & ISLAND BACK  DBL ENTRY BASE 34 1/2"" TALL","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI,$8.55 , X ,,DOUBLE ENTRY 
"PENN & ISLAND BACK  DBL ENTRY BASE 40 1/2"" TALL","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI,$10.35 , X ,,DOUBLE ENTRY 
"PENN & ISLAND BACK BASE - GRP-III 6"" INCR  34 1/2""","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI,$6.60 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE - GRP-III 6"" INCR  40 1/2""","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI,$7.20 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",SQR,$9.90 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",1-HD,$10.20 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",2-HR,$10.70 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",SQR,$10.70 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",1-HD,$11.30 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP IV  6"" INCR.  40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",2-HD,$11.70 , X ,,FLAT PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP.  TO 34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",SQR,$12.50 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP.  TO 34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",1-HD,$12.90 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP.  TO 34 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",2-HD,$13.40 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP. AT  TO 40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",SQR,$13.00 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP. AT  TO 40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",1-HD,$13.40 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE GRP V RP. AT  TO 40 1/2"" ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.", 2-HD ,$13.70 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE M.D.F. SERIES TO 34 1/2"" (ROUTED) ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI ,$6.90 , X ,,RAISED PANEL BACKS
"PENN & ISLAND BACK BASE M.D.F. SERIES TO 40 1/2""(ROUTED) ","     PENINSULA AND ISLAND BASE BACKS     6"" INCR.",  PLI ,$7.40 , X ,,RAISED PANEL BACKS
               LIVE BASE ENDS,,,   ,,,               LIVE BASE ENDS
"LIVE BASE END GRP II-III APPLIED MOLDING 24""X 34 1/2"" ",               LIVE BASE ENDS,  EA,$104.00 , X ,,APPLIED MOLDING ENDS
"LIVE BASE END GRP II-III APPLIED MOLDING 24""X 40 1/2""",               LIVE BASE ENDS,  EA ,$116.00 , X ,,APPLIED MOLDING ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 34 1/2""",               LIVE BASE ENDS, SQR ,$148.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 34 1/2""",               LIVE BASE ENDS, 1-HD ,$160.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 34 1/2""",               LIVE BASE ENDS, 2-HD ,$184.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 40 1/2""",               LIVE BASE ENDS, SQR ,$160.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 40 1/2""",               LIVE BASE ENDS, 1-HD ,$174.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP IV     FLAT PNL. BASE 24"" X 40 1/2""",               LIVE BASE ENDS, 2-HD ,$198.00 , X ,,FLAT PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 34 1/2""",               LIVE BASE ENDS, SQR ,$184.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 34 1/2""",               LIVE BASE ENDS, 1-HD ,$198.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 34 1/2""",               LIVE BASE ENDS, 2-HD ,$208.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 40 1/2""",               LIVE BASE ENDS, SQR ,$218.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 40 1/2""",               LIVE BASE ENDS, 1-HD ,$228.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END GRP V       R.P. BASE END  24"" X 40 1/2""",               LIVE BASE ENDS, 2-HD ,$240.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END M.D.F. SERIES     24"" X 34 1/2""      ( ROUTED )",               LIVE BASE ENDS,   EA ,$104.00 , X ,,RAISED PANEL ENDS
"LIVE BASE END M.D.F. SERIES     24"" X 40 1/2""      ( ROUTED )",               LIVE BASE ENDS,   EA ,$128.00 , X ,,RAISED PANEL ENDS
                LIVE UPPER ENDS,,,   ,,,                LIVE UPPER ENDS
"LIVE UPPER END GRP II-III APPLIED MOLDING  12 1/4"" X 30""",                LIVE UPPER ENDS,  EA ,$59.40 , X ,,APPLIED MOLDING ENDS
"LIVE UPPER END GRP II-III APPLIED MOLDING  12 1/4"" X 42""",                LIVE UPPER ENDS,  EA,$70.00 , X ,,APPLIED MOLDING ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,SQR,$82.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,1-HD,$94.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,2-HD,$104.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,SQR,$116.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,1-HD,$128.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,2-HD,$138.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,SQU,$127.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,1-HD,$138.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,2-HD,$148.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,SQU,$138.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,1-HD,$148.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,2-HD,$158.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 60""",                LIVE UPPER ENDS,SQR,$150.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 60""",                LIVE UPPER ENDS,1-HD,$158.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 60""",                LIVE UPPER ENDS,2-HD,$168.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 66""",                LIVE UPPER ENDS,SQU,$172.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 66""",                LIVE UPPER ENDS,1-HD,$180.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP IV   FLAT PANEL  12 1/4"" X 66""",                LIVE UPPER ENDS,2-HD,$192.00 , X ,,FLAT PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,SQR,$116.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,1-HD,$128.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 30""",                LIVE UPPER ENDS,2-HD,$138.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,SQR,$150.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,1-HD,$161.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 42""",                LIVE UPPER ENDS,2-HD,$174.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,SQU,$161.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,1-HD,$173.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 48""",                LIVE UPPER ENDS,2-HD,$184.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,SQU,$173.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,1-HD,$184.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 54""",                LIVE UPPER ENDS,2-HD,$195.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 60""",                LIVE UPPER ENDS,SQR,$184.00 , X ,,RAISED PANEL ENDS
"LIVE UPPER END GRP V    RAISED PANEL  12 1/4"" X 60""",                LIVE UPPER ENDS,1-HD,$192.00 , X ,,RAISED PANEL ENDS
